dVmax,ADP90,ADP50,Vreps,tdV
3.24063,215,199,-87.4703,5.98
3.33152,219,199,-87.6201,5.97
3.15049,254,231,-87.6239,5.98
3.07365,231,210,-87.8127,5.98
3.39402,212,190,-87.6982,5.97
3.20338,211,192,-87.4587,5.98
3.12008,202,185,-87.4807,5.98
3.42509,216,197,-87.4973,5.97
3.54798,259,235,-87.7215,5.96
3.38229,221,204,-87.4461,5.97
3.27904,230,210,-87.5405,5.97
3.36593,214,195,-87.44,5.97
3.19596,236,218,-87.4557,5.98
3.21861,232,214,-87.4419,5.98
3.52735,220,200,-87.6835,5.96
3.12323,226,208,-87.4179,5.98
3.23248,243,224,-87.5538,5.98
3.45277,229,211,-87.549,5.97
3.33445,249,231,-87.4681,5.97
3.24207,224,201,-87.669,5.97
3.62498,207,186,-87.7415,5.96
3.13927,234,215,-87.4814,5.98
3.49094,244,221,-87.647,5.96
3.24224,228,210,-87.4334,5.98
3.23092,221,204,-87.4468,5.97
3.23933,229,210,-87.4268,5.98
3.35595,202,183,-87.6253,5.97
3.16821,225,209,-87.4351,5.98
3.52867,209,192,-87.4575,5.96
3.25393,211,190,-87.6673,5.97
3.49989,209,191,-87.5233,5.96
3.20479,242,216,-87.7197,5.97
3.26137,215,195,-87.4625,5.97
3.63583,244,224,-87.66,5.96
3.57565,227,207,-87.6149,5.96
3.07428,254,233,-87.6717,5.98
3.54859,217,194,-87.7896,5.96
3.19083,228,210,-87.4656,5.98
3.05251,204,188,-87.4117,5.99
3.63418,243,224,-87.4769,5.96
3.36788,236,214,-87.624,5.97
3.32534,227,205,-87.6343,5.97
3.23213,217,199,-87.4301,5.98
3.31538,238,220,-87.4179,5.97
3.48947,204,186,-87.5837,5.96
3.12584,241,220,-87.663,5.98
3.58687,244,222,-87.6607,5.96
3.45317,250,229,-87.6289,5.96
3.16542,212,194,-87.4223,5.98
3.50623,218,195,-87.6701,5.96
3.30301,244,224,-87.5793,5.97
3.12694,231,213,-87.428,5.98
3.15109,229,210,-87.5225,5.98
3.58047,213,193,-87.6172,5.96
3.32174,238,217,-87.5602,5.97
3.31561,229,211,-87.4115,5.97
3.5147,256,233,-87.6242,5.96
3.10318,253,229,-87.6139,5.98
3.45657,200,183,-87.4376,5.97
3.20068,209,190,-87.529,5.98
3.63168,216,200,-87.4746,5.96
3.64721,218,201,-87.4428,5.96
3.38591,224,203,-87.5868,5.97
3.57618,202,183,-87.5562,5.96
3.62731,244,223,-87.5209,5.96
3.09392,232,213,-87.527,5.98
3.3689,229,211,-87.4833,5.97
3.43985,213,195,-87.4832,5.97
3.27951,241,219,-87.7139,5.97
3.62963,223,207,-87.4052,5.96
3.5173,238,217,-87.5319,5.96
3.45775,240,216,-87.8049,5.96
3.14204,232,207,-87.7551,5.98
3.13808,249,229,-87.5589,5.98
3.22741,208,191,-87.4964,5.98
3.41774,208,189,-87.54,5.97
3.36984,233,215,-87.459,5.97
3.18729,225,204,-87.7033,5.98
3.62538,226,206,-87.4766,5.96
3.46319,209,191,-87.5254,5.97
3.18051,223,204,-87.5826,5.98
3.23631,223,204,-87.5323,5.98
3.38102,233,212,-87.7134,5.97
3.34899,225,205,-87.5777,5.97
3.53635,214,197,-87.4716,5.96
3.55377,219,202,-87.4641,5.96
3.21255,192,175,-87.5115,5.98
3.37776,226,204,-87.7271,5.97
3.24936,246,222,-87.6742,5.97
3.44575,238,219,-87.5074,5.97
3.55726,239,221,-87.4475,5.96
3.51914,240,221,-87.4803,5.96
3.2084,224,204,-87.7473,5.98
3.15034,226,206,-87.7037,5.98
3.25009,214,196,-87.5036,5.97
3.61147,218,197,-87.6858,5.96
3.3214,234,218,-87.3849,5.97
3.52687,219,200,-87.5426,5.96
3.4292,230,212,-87.4288,5.97
3.40285,223,205,-87.4973,5.97
3.10931,242,223,-87.4063,5.98
3.48367,237,219,-87.3745,5.96
3.29895,242,225,-87.4308,5.97
3.28097,257,235,-87.6408,5.97
3.42846,237,216,-87.5368,5.96
3.12201,246,226,-87.5565,5.98
3.6411,234,215,-87.4404,5.96
3.37619,242,223,-87.5713,5.97
3.15676,241,216,-87.7591,5.98
3.20124,203,187,-87.4417,5.98
3.3779,200,182,-87.5651,5.97
3.34166,226,206,-87.4974,5.97
3.0975,216,196,-87.6181,5.98
3.06324,215,198,-87.4845,5.99
3.16008,245,224,-87.5783,5.98
3.46159,222,205,-87.5228,5.97
3.35149,216,197,-87.5667,5.97
3.46158,222,199,-87.7266,5.96
3.12602,239,218,-87.5391,5.98
3.25002,238,217,-87.6577,5.97
3.28235,229,208,-87.5227,5.97
3.09834,234,215,-87.4959,5.98
3.16174,247,228,-87.5047,5.98
3.19627,209,191,-87.4882,5.98
3.36033,235,213,-87.5814,5.97
3.66358,241,223,-87.465,5.96
3.0814,206,188,-87.5154,5.99
3.57806,211,193,-87.4994,5.96
3.55464,255,234,-87.5476,5.96
3.24472,251,228,-87.7694,5.97
3.23996,228,209,-87.539,5.97
3.47243,259,241,-87.4524,5.96
3.16499,225,207,-87.4859,5.98
3.3815,226,203,-87.6945,5.97
3.20768,241,220,-87.5293,5.98
3.06368,212,193,-87.5488,5.98
3.46416,252,228,-87.6839,5.96
3.24367,209,189,-87.6005,5.98
3.18424,233,215,-87.5202,5.98
3.07091,236,219,-87.3791,5.98
3.33254,237,217,-87.5462,5.97
3.21309,206,185,-87.7319,5.97
3.45416,218,200,-87.4707,5.96
3.0637,224,204,-87.6432,5.98
3.31188,235,215,-87.6374,5.97
3.26643,233,213,-87.4896,5.97
3.57702,244,225,-87.4996,5.96
3.21253,229,213,-87.4346,5.98
3.09701,228,209,-87.4424,5.98
3.65959,232,208,-87.7767,5.95
3.36951,252,229,-87.6346,5.97
3.20773,233,215,-87.4671,5.98
3.12274,223,205,-87.5118,5.98
3.51539,245,225,-87.546,5.96
3.07803,237,217,-87.5123,5.98
3.16667,223,202,-87.5138,5.98
3.2406,207,188,-87.5413,5.98
3.3277,205,187,-87.5547,5.97
3.60982,217,201,-87.4624,5.96
3.12036,225,208,-87.4671,5.98
3.05557,228,208,-87.5617,5.99
3.11126,212,196,-87.4154,5.98
3.41488,232,209,-87.6579,5.96
3.65869,202,182,-87.7136,5.95
3.47078,222,201,-87.5835,5.96
3.17769,209,191,-87.5349,5.98
3.52601,210,194,-87.423,5.96
3.31822,241,221,-87.6163,5.97
3.17649,246,222,-87.7246,5.97
3.5104,234,216,-87.5737,5.96
