dVmax,ADP90,ADP50,Vreps,tdV
3.28575,133,124,-72.1853,5.68
2.88538,160,148,-76.3153,5.78
2.98831,172,160,-76.7591,5.79
3.39429,187,177,-73.4563,5.7
2.84692,104,94,-74.9321,5.76
2.99965,141,128,-85.2143,5.96
3.03403,159,146,-82.3527,5.9
3.44638,179,165,-86.6364,5.96
3.12508,186,173,-79.7976,5.84
2.91991,157,147,-73.5296,5.73
2.90665,109,99,-73.3787,5.73
3.13344,119,107,-85.0606,5.95
3.45356,166,153,-85.3638,5.94
3.21371,175,164,-78.0809,5.8
2.93755,149,138,-78.058,5.82
3.13428,171,156,-85.1095,5.94
2.91764,106,95,-82.4193,5.91
2.85637,128,118,-73.0945,5.72
3.35669,162,151,-78.8277,5.81
3.08256,180,166,-80.9672,5.86
3.13678,97,87,-81.271,5.88
2.97664,163,153,-70.9351,5.67
3.4039,155,143,-82.3067,5.88
2.85245,123,113,-72.0973,5.7
3.30572,100,91,-72.8505,5.7
3.09324,87,77,-84.1945,5.94
3.2715,166,156,-76.232,5.76
3.17358,156,144,-79.9744,5.84
3.16591,114,105,-75.3642,5.75
3.39128,194,180,-82.5079,5.88
2.96249,152,142,-70.1778,5.66
3.17123,143,130,-84.1988,5.93
2.82564,118,108,-73.8368,5.74
3.2521,83,75,-72.0593,5.69
3.38509,195,183,-80.2123,5.84
2.94309,142,131,-74.7893,5.75
3.59472,190,176,-87.0623,5.96
3.05086,86,78,-73.4829,5.73
2.98747,94,86,-71.0184,5.68
3.3018,177,164,-82.4535,5.88
2.9661,101,91,-78.8241,5.84
3.3164,198,184,-83.9272,5.91
3.15461,169,156,-82.2192,5.89
2.98805,180,166,-81.1355,5.87
3.29589,197,182,-83.9889,5.91
3.22744,168,157,-72.3063,5.69
3.23228,165,153,-80.3765,5.85
3.12602,176,164,-77.0675,5.79
3.21779,191,177,-82.1013,5.88
2.91838,140,130,-71.303,5.68
3.23835,188,174,-82.1875,5.88
3.58763,123,112,-85.4056,5.94
3.00589,165,153,-75.9942,5.77
3.34984,178,168,-71.7729,5.67
3.1847,178,168,-73.272,5.71
3.25177,180,168,-79.5898,5.83
3.37417,142,132,-78.5907,5.81
3.31442,193,181,-78.204,5.8
3.12851,159,147,-81.9539,5.88
2.84095,156,145,-73.1323,5.72
2.96392,174,160,-83.2388,5.92
3.12704,159,149,-72.4629,5.69
3.12542,106,95,-82.9668,5.91
3.11097,140,130,-76.0132,5.77
3.19093,169,159,-70.8029,5.66
2.97225,140,126,-84.6088,5.94
3.05704,165,154,-75.9583,5.77
3.22073,158,148,-72.7153,5.69
2.90363,77,69,-72.6173,5.72
3.53501,150,138,-85.0801,5.93
3.07394,135,125,-76.5313,5.78
3.1738,98,88,-81.1844,5.88
3.36202,181,170,-75.8123,5.75
3.34924,133,120,-86.9566,5.98
3.15367,93,83,-79.2975,5.84
3.14196,184,169,-85.3811,5.95
3.06872,131,122,-70.4312,5.66
3.41779,198,185,-78.9274,5.81
3.28929,159,147,-79.9767,5.84
3.50673,169,156,-85.5019,5.94
2.87844,99,88,-80.9097,5.88
2.8805,74,66,-74.0068,5.75
3.64505,128,117,-87.2941,5.97
3.43852,190,177,-80.9343,5.85
3.31945,144,132,-82.4832,5.89
2.96523,157,143,-83.9135,5.93
2.94268,137,124,-83.3104,5.92
3.05929,94,86,-73.2803,5.72
3.24222,96,86,-80.0721,5.85
3.31262,187,175,-79.0756,5.82
2.98996,154,144,-73.4347,5.72
3.31388,197,183,-82.219,5.88
3.26638,186,174,-75.4578,5.75
2.92281,93,84,-74.128,5.74
3.41509,99,90,-78.9915,5.82
2.88696,129,119,-73.4666,5.73
2.85538,139,127,-77.3949,5.81
2.96406,151,141,-72.8113,5.71
2.96674,120,109,-79.3414,5.84
3.61151,159,147,-86.1452,5.95
3.23331,174,163,-73.711,5.71
3.19674,109,100,-76.132,5.77
2.94672,169,158,-75.3497,5.76
3.34965,197,184,-81.631,5.86
3.11598,170,158,-77.1456,5.79
3.03587,107,96,-81.4837,5.89
3.01352,114,104,-80.6831,5.87
3.46452,201,188,-80.7029,5.84
3.27744,166,156,-72.8485,5.69
2.96251,179,165,-82.6866,5.9
3.4281,136,125,-80.2642,5.84
2.93533,144,133,-77.3471,5.8
3.13327,97,89,-71.751,5.68
2.88552,87,78,-72.6001,5.71
3.45533,159,147,-82.6661,5.88
3.12884,95,84,-84.7881,5.95
3.22005,137,126,-80.0415,5.84
3.26424,145,133,-84.8627,5.94
2.97809,161,151,-69.6527,5.64
3.01914,156,144,-80.6903,5.86
3.14846,153,143,-73.8136,5.72
3.25158,158,145,-83.9523,5.92
2.8881,136,125,-74.5253,5.75
3.30238,86,78,-74.4688,5.74
2.99729,145,135,-69.7481,5.65
2.9656,165,153,-78.8724,5.83
3.19544,145,133,-82.38,5.89
3.39087,197,184,-79.8804,5.83
2.93491,125,114,-79.2943,5.84
3.03595,118,108,-77.5342,5.8
3.34795,185,174,-74.0408,5.71
3.23383,127,118,-73.8238,5.72
2.85952,132,120,-78.9212,5.84
3.09951,140,130,-72.9932,5.71
3.2664,135,123,-86.2396,5.97
3.06093,132,123,-70.1165,5.65
3.26397,172,161,-75.5759,5.75
3.392,128,119,-72.193,5.68
3.27648,123,111,-85.4334,5.95
3.09533,93,84,-78.0403,5.82
3.1588,141,130,-76.6084,5.78
2.96131,154,140,-83.1568,5.92
3.16267,87,78,-77.2311,5.8
2.87596,123,112,-76.6443,5.79
3.41614,137,127,-78.9709,5.81
3.53591,175,162,-85.8134,5.94
3.36765,160,151,-72.9644,5.69
2.99955,143,134,-70.0316,5.65
3.10742,101,90,-84.7994,5.95
3.18383,97,88,-76.1252,5.77
3.1877,174,161,-80.3675,5.85
2.84068,167,155,-76.9919,5.8
3.08776,110,100,-79.6126,5.85
3.30317,188,175,-79.7418,5.83
3.16666,174,163,-76.3862,5.77
3.20701,147,135,-81.9355,5.88
3.27471,110,99,-82.8239,5.9
2.88826,147,135,-78.7952,5.83
3.23044,137,125,-82.3576,5.89
3.36735,201,185,-86.192,5.95
3.0856,131,120,-81.5801,5.88
2.88214,83,73,-78.9913,5.85
3.02533,177,165,-77.4256,5.8
3.16924,141,130,-78.5487,5.82
3.11858,184,171,-78.7388,5.82
3.07097,131,122,-72.621,5.7
3.14647,180,168,-78.8263,5.82
3.15689,175,163,-78.72,5.82
2.9994,76,68,-72.7062,5.71
3.24165,179,165,-83.6179,5.91
3.30864,98,87,-87.2957,5.99
3.38625,188,177,-74.5316,5.72
3.13206,148,135,-82.127,5.89
2.97028,167,156,-73.4294,5.72
2.88397,121,109,-79.5546,5.85
3.03037,143,133,-69.818,5.65
3.35065,116,107,-72.0597,5.68
3.00857,172,160,-76.4151,5.78
2.85672,125,115,-74.6799,5.75
3.21008,183,172,-76.0149,5.76
3.09993,92,82,-79.8618,5.85
3.10827,137,128,-71.2784,5.67
